"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
2017,합계,"4,220,082","10,124,579","4,957,857","5,166,722","9,857,426","4,830,206","5,027,220","267,153","127,651","139,502",-,-,2.34,"1,365,126"
2017,종로구,"73,594","164,257","80,094","84,163","154,770","75,967","78,803","9,487","4,127","5,360",-,-,2.1,"26,182"
2017,중구,"60,412","134,593","66,337","68,256","125,709","62,253","63,456","8,884","4,084","4,800",-,-,2.08,"21,384"
2017,용산구,"107,666","244,444","119,423","125,021","229,161","110,878","118,283","15,283","8,545","6,738",-,-,2.13,"36,882"
2017,성동구,"132,902","312,711","154,077","158,634","304,808","150,368","154,440","7,903","3,709","4,194",-,-,2.29,"41,273"
2017,광진구,"160,798","372,298","180,645","191,653","357,703","174,414","183,289","14,595","6,231","8,364",-,-,2.22,"43,953"
2017,동대문구,"159,938","366,011","181,185","184,826","350,647","175,324","175,323","15,364","5,861","9,503",-,-,2.19,"55,718"
2017,중랑구,"179,132","412,780","205,125","207,655","408,226","203,325","204,901","4,554","1,800","2,754",-,-,2.28,"59,262"
2017,성북구,"187,112","455,407","221,103","234,304","444,055","216,556","227,499","11,352","4,547","6,805",-,-,2.37,"66,251"
2017,강북구,"142,533","328,002","160,252","167,750","324,479","158,918","165,561","3,523","1,334","2,189",-,-,2.28,"56,530"
2017,도봉구,"137,378","346,234","169,553","176,681","344,166","168,759","175,407","2,068",794,"1,274",-,-,2.51,"53,488"
2017,노원구,"217,619","558,075","271,025","287,050","554,403","269,508","284,895","3,672","1,517","2,155",-,-,2.55,"74,243"
2017,은평구,"202,839","491,202","238,223","252,979","486,794","236,353","250,441","4,408","1,870","2,538",-,-,2.4,"74,559"
2017,서대문구,"137,266","325,028","155,250","169,778","312,800","151,144","161,656","12,228","4,106","8,122",-,-,2.28,"49,266"
2017,마포구,"169,408","385,783","183,248","202,535","374,915","178,939","195,976","10,868","4,309","6,559",-,-,2.21,"49,615"
2017,양천구,"176,649","475,018","234,279","240,739","471,154","232,518","238,636","3,864","1,761","2,103",-,-,2.67,"55,234"
2017,강서구,"254,257","608,255","296,175","312,080","601,691","292,989","308,702","6,564","3,186","3,378",-,-,2.37,"76,032"
2017,구로구,"171,570","441,559","221,386","220,173","410,742","204,003","206,739","30,817","17,383","13,434",-,-,2.39,"58,794"
2017,금천구,"106,066","253,491","129,775","123,716","235,154","119,497","115,657","18,337","10,278","8,059",-,-,2.22,"34,170"
2017,영등포구,"167,355","402,024","202,400","199,624","368,550","183,975","184,575","33,474","18,425","15,049",-,-,2.2,"53,981"
2017,동작구,"172,995","408,493","198,827","209,666","396,217","193,255","202,962","12,276","5,572","6,704",-,-,2.29,"57,255"
2017,관악구,"255,352","520,929","262,006","258,923","503,297","253,661","249,636","17,632","8,345","9,287",-,-,1.97,"70,046"
2017,서초구,"173,594","445,401","213,422","231,979","441,102","211,236","229,866","4,299","2,186","2,113",-,-,2.54,"53,205"
2017,강남구,"231,612","561,052","268,941","292,111","556,164","266,442","289,722","4,888","2,499","2,389",-,-,2.4,"65,060"
2017,송파구,"264,628","671,173","326,407","344,766","664,496","323,147","341,349","6,677","3,260","3,417",-,-,2.51,"76,582"
2017,강동구,"177,407","440,359","218,699","221,660","436,223","216,777","219,446","4,136","1,922","2,214",-,-,2.46,"56,161"
