Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2018,서울시,"17,302","86,536",58,"33,318",221,"18,484","8,336","10,750",114,"18,762",65,84,"4,792",59,42,"2,583","3,609",819,,,,,56,-,4,"1,035",1,436,1,199,3,7
2018,종로구,496,"3,408",4,"2,970",2,225,186,170,-,-,1,40,163,-,-,-,133,3,,,,,7,-,-,-,-,-,-,-,-,-
2018,중구,558,"1,473",3,974,3,261,232,185,-,-,6,-,208,-,1,53,93,-,,,,,12,-,-,-,-,-,-,-,-,-
2018,용산구,304,992,1,725,2,172,128,95,-,-,-,-,108,-,-,-,62,-,,,,,2,-,-,-,-,-,-,-,1,-
2018,성동구,432,"1,874",1,845,5,403,197,119,3,507,1,-,131,-,-,-,94,-,,,,,-,-,-,-,-,-,-,-,-,-
2018,광진구,553,"2,322",2,"1,097",5,438,269,519,2,234,2,-,152,-,-,-,121,34,,,,,-,-,-,-,-,-,-,-,-,-
2018,동대문구,603,"5,688",5,"2,002",14,"1,608",251,474,8,"1,390",3,26,156,-,1,183,164,-,,,,,-,-,-,-,-,-,-,-,1,5
2018,중랑구,498,"3,049",3,"1,041",12,831,228,667,2,286,-,-,146,-,-,-,106,25,,,,,-,-,-,-,-,-,1,199,-,-
2018,성북구,530,"3,402",1,"1,048",7,511,251,451,6,"1,161",1,-,150,-,-,-,112,1,,,,,1,-,1,230,-,-,-,-,-,-
2018,강북구,450,"2,205",1,201,8,766,223,446,6,755,1,-,118,1,-,-,93,36,,,,,-,-,-,-,-,-,-,-,-,-
2018,도봉구,364,"2,988",1,417,8,"1,205",156,174,7,860,1,-,103,-,2,170,84,-,,,,,1,-,1,162,-,-,-,-,-,-
2018,노원구,717,"3,773",3,"1,657",6,419,348,425,7,"1,185",2,-,192,-,2,85,157,2,,,,,-,-,-,-,-,-,-,-,-,-
2018,은평구,644,"3,013",1,200,10,842,309,446,5,956,1,-,174,-,2,76,141,57,,,,,-,-,-,-,1,436,-,-,-,-
2018,서대문구,430,"3,799",2,"2,659",5,265,205,307,3,435,2,7,121,-,1,90,91,36,,,,,-,-,-,-,-,-,-,-,-,-
2018,마포구,715,694,-,-,2,202,357,202,2,211,3,-,196,-,1,33,153,46,,,,,1,-,-,-,-,-,-,-,-,-
2018,양천구,627,"2,791",2,"1,074",6,777,277,379,4,279,4,-,179,-,3,196,152,86,,,,,-,-,-,-,-,-,-,-,-,-
2018,강서구,802,"3,616",4,816,15,"1,205",368,612,4,691,3,-,215,-,3,183,187,107,,,,,2,-,-,-,-,-,-,-,1,2
2018,구로구,556,"4,403",2,"1,264",8,560,259,400,7,"1,652",2,-,164,-,1,55,110,42,,,,,2,-,1,430,-,-,-,-,-,-
2018,금천구,339,"1,911",1,225,6,626,151,342,4,621,-,-,103,-,1,47,73,50,,,,,-,-,-,-,-,-,-,-,-,-
2018,영등포구,738,"5,642",7,"2,128",8,851,325,392,12,"2,202",2,-,232,-,1,55,143,14,,,,,8,-,-,-,-,-,-,-,-,-
2018,동작구,570,"2,927",2,"1,599",5,393,257,323,3,535,2,-,168,-,1,30,132,47,,,,,-,-,-,-,-,-,-,-,-,-
2018,관악구,681,"2,406",2,484,9,604,306,527,3,677,1,-,203,-,-,-,154,114,,,,,3,-,-,-,-,-,-,-,-,-
2018,서초구,"1,201","3,501",1,"1,356",11,948,600,324,4,571,5,-,309,8,5,289,260,5,,,,,6,-,-,-,-,-,-,-,-,-
2018,강남구,"2,594","8,368",4,"3,115",33,"2,099","1,585","1,449",9,"1,048",16,1,570,50,10,592,362,14,,,,,5,-,-,-,-,-,-,-,-,-
2018,송파구,"1,129","6,513",2,"3,155",16,"1,324",527,704,7,"1,009",3,-,318,-,2,82,250,26,,,,,3,-,1,213,-,-,-,-,-,-
2018,강동구,771,"5,778",3,"2,266",15,949,341,618,6,"1,497",3,10,213,-,5,364,182,74,,,,,3,-,-,-,-,-,-,-,-,-
