Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,서울시,"17,142","86,800",57,"33,077",214,"17,740","8,176","11,042",108,"17,913",64,96,"4,786",69,43,"2,657","3,626",728,,,,,51,-,6,"1,186",1,435,7,"1,845",3,12
2017,종로구,500,"3,387",4,"2,978",2,153,182,185,-,-,1,40,168,-,1,31,135,-,,,,,7,-,-,-,-,-,-,-,-,-
2017,중구,543,"1,533",3,"1,035",3,261,220,184,-,-,5,-,208,-,1,53,89,-,,,,,14,-,-,-,-,-,-,-,-,-
2017,용산구,298,992,1,727,2,174,123,86,-,-,-,-,108,-,-,-,60,-,,,,,3,-,-,-,-,-,-,-,1,5
2017,성동구,432,"2,173",1,844,7,634,197,188,3,507,1,-,131,-,-,-,92,-,,,,,-,-,-,-,-,-,-,-,-,-
2017,광진구,543,"2,278",2,"1,087",3,179,261,547,2,229,2,-,151,-,-,-,121,36,,,,,-,-,-,-,-,-,1,200,-,-
2017,동대문구,605,"6,349",5,"2,035",14,"1,608",240,512,9,"1,480",3,26,154,-,1,183,177,-,,,,,-,-,-,-,-,-,1,500,1,5
2017,중랑구,491,"3,003",3,"1,049",12,831,223,638,2,286,-,-,147,-,-,-,103,-,,,,,-,-,-,-,-,-,1,199,-,-
2017,성북구,525,"3,126",1,"1,051",6,471,245,451,5,919,1,-,150,-,-,-,115,1,,,,,1,-,1,233,-,-,-,-,-,-
2017,강북구,447,"2,040",1,203,8,802,221,403,3,447,1,-,118,1,-,-,93,36,,,,,-,-,2,148,-,-,-,-,-,-
2017,도봉구,367,"3,002",1,414,5,525,159,180,7,846,1,-,102,-,2,204,85,-,,,,,1,-,1,162,-,-,3,671,-,-
2017,노원구,717,"3,906",3,"1,664",7,471,346,421,8,"1,265",2,-,191,-,2,85,157,-,,,,,1,-,-,-,-,-,-,-,-,-
2017,은평구,623,"3,292",1,200,9,655,301,490,6,"1,104",1,-,169,-,2,70,132,63,,,,,-,-,-,-,1,435,1,275,-,-
2017,서대문구,432,"3,755",2,"2,667",4,178,206,340,3,435,2,7,120,-,1,108,94,20,,,,,-,-,-,-,-,-,-,-,-,-
2017,마포구,717,722,-,-,2,187,349,225,2,211,3,-,200,-,1,33,160,66,,,,,-,-,-,-,-,-,-,-,-,-
2017,양천구,621,"2,757",2,"1,064",5,750,274,383,3,279,4,-,177,-,3,192,153,89,,,,,-,-,-,-,-,-,-,-,-,-
2017,강서구,777,"3,508",3,459,16,"1,366",358,544,5,831,3,-,207,-,3,183,182,125,,,,,-,-,-,-,-,-,-,-,-,-
2017,구로구,557,"3,893",2,"1,261",8,608,262,368,5,"1,110",2,-,166,-,1,67,109,47,,,,,-,-,1,430,-,-,-,-,1,2
2017,금천구,330,"2,035",1,236,6,704,143,388,4,621,-,-,101,-,1,47,74,39,,,,,-,-,-,-,-,-,-,-,-,-
2017,영등포구,729,"5,604",7,"2,129",9,998,317,434,11,"1,934",2,-,226,-,2,95,145,14,,,,,10,-,-,-,-,-,-,-,-,-
2017,동작구,560,"2,865",2,"1,599",5,401,251,266,3,522,1,-,168,-,1,30,129,47,,,,,-,-,-,-,-,-,-,-,-,-
2017,관악구,673,"2,341",2,479,8,515,300,577,3,692,1,-,205,-,-,-,154,78,,,,,-,-,-,-,-,-,-,-,-,-
2017,서초구,"1,229","3,543",1,"1,356",10,955,603,359,4,568,6,-,319,16,5,279,275,10,,,,,6,-,-,-,-,-,-,-,-,-
2017,강남구,"2,559","8,082",4,"3,115",33,"2,067","1,543","1,516",6,796,16,13,573,52,8,507,372,16,,,,,4,-,-,-,-,-,-,-,-,-
2017,송파구,"1,106","6,677",2,"3,175",16,"1,334",508,664,8,"1,158",3,-,315,-,3,111,247,22,,,,,3,-,1,213,-,-,-,-,-,-
2017,강동구,761,"5,937",3,"2,250",14,913,344,693,6,"1,673",3,10,212,-,5,379,173,19,,,,,1,-,-,-,-,-,-,-,-,-
